product_id,product_name,category,price,discount,average_rating,num_reviews,review_variance,description_keywords,title_similarity,image_quality_score,seller_id,seller_rating,seller_tenure_months,return_rate,shipping_time_days,complaint_count,verified_seller,price_to_market_avg_ratio,rating_to_review_ratio,discount_rating_correlation,genuine_label
P0017,Educational Puzzle Game,Toys,423.12,10.2,4.78,112,0.46,premium original,0.912,0.897,S0017,4.89,47,1.45,2,0,1,0.084624,0.042679,48.76,1
P0018,Gourmet Coffee Beans,Grocery,1234.56,13.5,4.23,178,0.71,imported genuine,0.878,0.854,S0018,4.45,34,2.67,3,2,1,0.246912,0.023764,57.11,1
P0019,Wireless Earbuds Pro,Electronics,3214.89,24.8,3.98,456,1.12,authentic warranty,0.812,0.778,S0019,4.01,26,6.45,4,4,1,0.642978,0.008728,98.73,1
P0020,Classic White Sneakers,Fashion,2145.67,16.9,4.45,389,0.82,premium sealed,0.889,0.867,S0020,4.67,37,3.12,3,2,1,0.429134,0.01144,75.22,1
P0021,Stainless Steel Cookware,Home,4567.89,27.3,3.78,512,1.28,original imported,0.745,0.701,S0021,3.89,23,7.89,5,5,1,0.913578,0.007383,103.2,1
P0022,Anti Aging Night Cream,Beauty,3456.23,19.45,4.67,623,0.59,premium authentic,0.934,0.923,S0022,4.78,46,2.01,2,1,1,0.691246,0.007496,90.82,1
P0023,Remote Control Car,Toys,1876.45,21.7,4.12,267,0.88,genuine warranty,0.867,0.834,S0023,4.23,31,3.89,3,3,1,0.37529,0.015431,89.4,1
P0024,Organic Green Tea,Grocery,567.89,8.3,4.56,94,0.41,authentic original,0.901,0.889,S0024,4.67,39,2.23,2,1,1,0.113578,0.048511,37.85,1
P0025,Gaming Mouse RGB,Electronics,2345.67,29.6,3.56,378,1.42,discounted limited,0.712,0.673,S0025,3.45,19,9.67,6,7,1,0.469134,0.009418,105.38,1
P0026,Elegant Evening Gown,Fashion,6789.12,48.9,2.67,489,1.76,replica refurbished,0.589,0.498,S0026,2.78,10,19.45,10,13,0,1.357824,0.00546,130.55,0
P0027,Vacuum Cleaner Robotic,Home,12345.78,56.7,2.45,623,1.92,discounted limited,0.523,0.456,S0027,2.34,7,24.56,12,14,0,2.469156,0.003932,138.91,0
P0028,Vitamin C Face Wash,Beauty,645.23,6.5,4.89,156,0.37,premium sealed,0.945,0.934,S0028,4.91,49,1.34,2,0,1,0.129046,0.031346,31.79,1
P0029,Wooden Train Set,Toys,892.45,12.8,4.34,189,0.74,authentic genuine,0.878,0.856,S0029,4.56,35,2.98,3,2,1,0.17849,0.022963,55.55,1
P0030,Premium Olive Oil,Grocery,1456.78,15.2,4.12,123,0.68,imported original,0.867,0.845,S0030,4.34,32,3.12,3,2,1,0.291356,0.033496,62.62,1
P0031,4K Action Camera,Electronics,8976.54,41.3,3.12,567,1.68,replica discounted,0.645,0.567,S0031,2.89,14,15.67,8,10,0,1.795308,0.005503,128.86,0
P0032,Designer Handbag,Fashion,9876.23,38.5,3.34,478,1.54,refurbished limited,0.678,0.612,S0032,3.12,16,13.45,7,9,0,1.975246,0.006987,128.61,0
P0033,Electric Kettle Smart,Home,1876.45,18.9,4.23,298,0.91,genuine warranty,0.845,0.812,S0033,4.45,28,3.67,3,3,1,0.37529,0.014195,79.95,1
P0034,Hydrating Body Lotion,Beauty,1234.67,11.2,4.67,267,0.58,authentic premium,0.912,0.898,S0034,4.78,43,1.89,2,1,1,0.246934,0.017491,52.31,1
P0035,Drone with HD Camera,Electronics,15432.89,59.8,2.12,712,1.98,discounted replica,0.498,0.423,S0035,2.01,5,27.89,13,15,0,3.086578,0.002978,126.78,0
P0036,Cotton Bed Sheet Set,Fashion,2134.56,20.3,4.01,356,0.95,premium sealed,0.834,0.801,S0036,4.23,30,4.12,4,3,1,0.426912,0.011264,81.43,1
P0037,Microwave Oven Digital,Home,5678.9,31.2,3.67,445,1.36,discounted imported,0.734,0.689,S0037,3.78,22,8.45,5,5,1,1.13578,0.008247,114.5,1
P0038,Lipstick Matte Finish,Beauty,456.78,5.6,4.78,89,0.32,premium original,0.934,0.923,S0038,4.89,45,1.23,2,0,1,0.091356,0.053708,26.77,1
P0039,Board Game Family Pack,Toys,1567.23,14.5,4.45,234,0.77,authentic genuine,0.889,0.867,S0039,4.67,38,2.45,2,2,1,0.313446,0.019017,64.53,1
P0040,Dark Chocolate Premium,Grocery,876.45,9.4,4.56,112,0.48,imported sealed,0.901,0.887,S0040,4.78,41,2.01,2,1,1,0.17529,0.040714,42.86,1
P0041,Bluetooth Speaker Portable,Electronics,3456.78,26.4,3.89,412,1.18,authentic warranty,0.789,0.756,S0041,4.01,25,6.78,4,4,1,0.691356,0.009442,102.71,1
P0042,Yoga Pants High Waist,Fashion,1234.89,13.8,4.34,298,0.72,premium genuine,0.878,0.856,S0042,4.56,36,2.89,3,2,1,0.246978,0.014564,59.89,1
P0043,Air Purifier HEPA,Home,7890.12,35.6,3.45,534,1.48,discounted limited,0.712,0.667,S0043,3.34,20,10.23,6,7,0,1.578024,0.006461,122.81,0
P0044,Sunscreen SPF 50,Beauty,789.23,7.2,4.89,178,0.44,authentic premium,0.923,0.912,S0044,4.91,47,1.45,2,1,1,0.157846,0.027472,35.22,1
P0045,Action Figure Superhero,Toys,678.9,11.6,4.23,156,0.68,genuine sealed,0.867,0.845,S0045,4.45,33,2.67,3,2,1,0.13578,0.027115,49.07,1
P0046,Pasta Sauce Marinara,Grocery,345.67,4.8,4.67,67,0.29,original authentic,0.912,0.901,S0046,4.78,42,1.67,2,1,1,0.069134,0.069701,22.42,1
P0047,Smart Watch Fitness,Electronics,6789.45,43.2,2.89,589,1.72,replica refurbished,0.612,0.534,S0047,2.67,11,17.23,9,11,0,1.35789,0.004907,124.9,0
P0048,Leather Belt Classic,Fashion,567.89,8.7,4.56,123,0.51,premium warranty,0.901,0.889,S0048,4.67,40,2.12,2,1,1,0.113578,0.037073,39.67,1
P0049,Coffee Maker Automatic,Home,4321.67,28.9,3.78,467,1.31,discounted genuine,0.756,0.723,S0049,3.89,24,7.56,5,5,1,0.864334,0.008094,109.23,1
P0050,Hair Serum Argan Oil,Beauty,1123.45,10.3,4.78,245,0.54,authentic imported,0.923,0.909,S0050,4.89,44,1.78,2,1,1,0.22469,0.01951,49.23,1
P0051,Lego Building Set,Toys,2345.89,17.8,4.34,312,0.81,premium original,0.878,0.856,S0051,4.56,37,3.01,3,2,1,0.469178,0.01391,77.24,1
P0052,Almond Butter Organic,Grocery,1678.23,12.5,4.45,134,0.63,genuine sealed,0.889,0.876,S0052,4.67,39,2.34,2,2,1,0.335646,0.033209,55.63,1
P0053,Tablet 10 inch Android,Electronics,11234.56,51.4,2.56,678,1.86,discounted replica,0.545,0.478,S0053,2.45,9,21.45,11,13,0,2.246912,0.003776,131.58,0
P0054,Winter Jacket Puffer,Fashion,4567.89,46.7,2.78,523,1.81,refurbished limited,0.601,0.523,S0054,2.89,13,19.89,10,12,0,0.913578,0.005316,129.82,0
P0055,Induction Cooktop,Home,6543.21,32.8,3.67,489,1.39,discounted warranty,0.734,0.698,S0055,3.78,21,9.12,5,6,1,1.308642,0.007506,120.38,1
P0056,Moisturizer Gel Based,Beauty,987.65,8.9,4.67,189,0.49,premium authentic,0.912,0.901,S0056,4.78,42,1.89,2,1,1,0.19753,0.024709,41.56,1
P0057,Science Experiment Kit,Toys,1456.78,15.9,4.12,223,0.79,authentic genuine,0.856,0.834,S0057,4.34,32,3.12,3,2,1,0.291356,0.018475,65.51,1
P0058,Honey Organic Raw,Grocery,892.34,6.9,4.78,98,0.39,imported original,0.923,0.912,S0058,4.89,46,1.56,2,1,1,0.178468,0.048776,32.98,1
P0059,USB C Hub Multiport,Electronics,2876.45,25.6,3.98,378,1.15,genuine warranty,0.801,0.767,S0059,4.12,27,6.23,4,4,1,0.57529,0.010529,101.9,1
P0060,Silk Scarf Designer,Fashion,3456.12,22.4,4.23,356,0.93,premium sealed,0.867,0.845,S0060,4.45,34,3.45,3,3,1,0.691224,0.011882,94.75,1
P0061,Food Processor 1000W,Home,5432.67,30.2,3.78,512,1.33,discounted imported,0.745,0.712,S0061,3.89,23,8.67,5,5,1,1.086534,0.007383,114.15,1
P0062,Nail Polish Set,Beauty,456.23,5.2,4.89,112,0.35,authentic premium,0.934,0.923,S0062,4.91,48,1.34,2,0,1,0.091246,0.043661,25.43,1
P0063,Stuffed Animal Teddy,Toys,678.45,10.8,4.56,167,0.61,genuine original,0.901,0.889,S0063,4.67,40,2.23,2,1,1,0.13569,0.027305,49.25,1
P0064,Quinoa Organic,Grocery,1234.56,11.7,4.34,145,0.66,imported sealed,0.878,0.867,S0064,4.56,37,2.56,2,2,1,0.246912,0.029931,50.78,1
P0065,Mechanical Keyboard RGB,Electronics,4567.89,37.8,3.23,456,1.56,replica discounted,0.689,0.623,S0065,3.12,17,12.34,7,8,0,0.913578,0.007083,122.07,0
P0066,Running Shoes Sport,Fashion,2987.65,24.3,4.12,389,0.97,premium warranty,0.845,0.823,S0066,4.34,31,3.78,3,3,1,0.59753,0.010592,100.11,1
P0067,Water Purifier RO,Home,9876.54,44.5,3.12,601,1.64,discounted limited,0.678,0.612,S0067,2.89,15,14.89,8,9,0,1.975308,0.005191,138.84,0
P0068,Eye Shadow Palette,Beauty,1567.89,13.2,4.67,278,0.64,authentic genuine,0.901,0.887,S0068,4.78,41,2.12,2,1,1,0.313578,0.016799,61.64,1
P0069,Chess Board Wooden,Toys,1876.23,16.4,4.45,201,0.76,premium sealed,0.889,0.867,S0069,4.67,38,2.67,2,2,1,0.375246,0.022139,72.98,1
P0070,Cashew Nuts Roasted,Grocery,2345.67,18.6,4.23,189,0.85,imported original,0.867,0.845,S0070,4.45,35,3.23,3,2,1,0.469134,0.022381,78.68,1
P0071,Webcam HD 1080p,Electronics,3214.56,27.9,3.89,423,1.22,discounted warranty,0.778,0.745,S0071,3.98,24,7.12,5,5,1,0.642912,0.009197,108.55,1
P0072,Denim Jacket Vintage,Fashion,3987.45,31.6,3.67,445,1.37,refurbished limited,0.723,0.689,S0072,3.67,20,9.45,6,6,1,0.79749,0.008247,115.98,1
P0073,Electric Grill Indoor,Home,4678.9,29.7,3.78,489,1.29,genuine imported,0.756,0.723,S0073,4.01,25,7.89,4,5,1,0.93578,0.00773,112.26,1
P0074,Face Mask Sheet Pack,Beauty,678.23,7.5,4.78,134,0.47,premium authentic,0.923,0.912,S0074,4.89,45,1.67,2,1,1,0.135646,0.035672,35.85,1
P0075,Puzzle 1000 Pieces,Toys,892.67,12.3,4.34,178,0.73,authentic genuine,0.878,0.856,S0075,4.56,36,2.78,3,2,1,0.178534,0.024382,53.38,1
P0076,Green Tea Matcha,Grocery,1456.34,14.8,4.12,123,0.69,imported sealed,0.867,0.854,S0076,4.34,33,2.89,3,2,1,0.291268,0.033496,60.98,1
P0077,Monitor 27 inch 4K,Electronics,16789.23,54.3,2.45,712,1.94,replica discounted,0.523,0.467,S0077,2.34,8,25.67,12,14,0,3.357846,0.003441,133.04,0
P0078,Formal Shirt Cotton,Fashion,1456.78,14.2,4.45,267,0.75,premium warranty,0.889,0.867,S0078,4.67,37,2.98,3,2,1,0.291356,0.016667,63.19,1
P0079,Toaster 4 Slice,Home,2876.45,23.4,4.01,356,1.01,genuine sealed,0.834,0.812,S0079,4.23,29,4.56,4,4,1,0.57529,0.011264,93.83,1
P0080,Body Wash Shower Gel,Beauty,567.89,6.7,4.89,145,0.4,authentic original,0.934,0.923,S0080,4.91,47,1.45,2,1,1,0.113578,0.033724,32.76,1
P0081,Construction Truck Toy,Toys,1234.56,13.9,4.23,212,0.78,premium genuine,0.867,0.845,S0081,4.45,34,2.89,3,2,1,0.246912,0.019953,58.8,1
P0082,Peanut Butter Crunchy,Grocery,678.9,8.2,4.56,98,0.46,genuine imported,0.901,0.889,S0082,4.78,41,2.01,2,1,1,0.13578,0.046531,37.39,1
P0083,Gaming Laptop 15 inch,Electronics,45678.9,67.8,1.89,823,2.12,discounted replica,0.456,0.389,S0083,1.98,4,32.45,14,15,0,9.13578,0.002296,128.13,0
P0084,Leather Wallet Bifold,Fashion,987.23,10.5,4.67,189,0.59,premium sealed,0.912,0.898,S0084,4.78,42,2.12,2,1,1,0.197446,0.024709,49.04,1
P0085,Fan Ceiling 52 inch,Home,3456.78,26.8,3.89,445,1.21,discounted warranty,0.789,0.756,S0085,3.98,24,6.89,4,5,1,0.691356,0.008742,104.25,1
P0086,Perfume Eau De Parfum,Beauty,3987.65,21.3,4.45,412,0.81,authentic premium,0.889,0.876,S0086,4.67,39,2.67,3,2,1,0.79753,0.010802,94.77,1
P0087,Soft Toy Elephant,Toys,567.34,9.6,4.78,134,0.52,genuine original,0.923,0.912,S0087,4.89,44,1.89,2,1,1,0.113468,0.035672,45.89,1
P0088,Cooking Oil Sunflower,Grocery,892.45,10.4,4.34,112,0.61,imported authentic,0.878,0.867,S0088,4.56,38,2.34,2,1,1,0.17849,0.03875,45.14,1
P0089,Headphones Noise Cancel,Electronics,7890.23,39.5,3.34,534,1.59,replica refurbished,0.667,0.601,S0089,3.01,15,13.67,7,9,0,1.578046,0.006255,131.93,0
P0090,Formal Trousers Slim,Fashion,2134.67,19.8,4.12,312,0.91,premium warranty,0.856,0.834,S0090,4.34,32,3.56,3,3,1,0.426934,0.013205,81.58,1
P0091,Rice Cooker Electric,Home,2987.45,24.6,3.98,389,1.08,genuine imported,0.812,0.789,S0091,4.12,28,5.23,4,4,1,0.59749,0.010232,97.91,1
P0092,Foundation Liquid,Beauty,1678.9,12.9,4.67,298,0.62,premium authentic,0.901,0.889,S0092,4.78,43,2.01,2,1,1,0.33578,0.015671,60.24,1
P0093,Coloring Book Kids,Toys,234.56,4.5,4.89,78,0.31,authentic genuine,0.945,0.934,S0093,4.91,49,1.23,2,0,1,0.046912,0.062692,22.01,1
P0094,Mixed Nuts Premium,Grocery,1987.34,16.7,4.23,167,0.79,imported sealed,0.867,0.854,S0094,4.45,36,2.89,2,2,1,0.397468,0.025329,70.64,1
P0095,Power Bank 20000mAh,Electronics,2876.45,22.8,4.01,378,1.03,genuine warranty,0.823,0.801,S0095,4.23,30,4.89,4,4,1,0.57529,0.010608,91.43,1
P0096,Casual Shirt Linen,Fashion,1567.89,15.4,4.45,289,0.77,premium sealed,0.889,0.867,S0096,4.67,38,2.78,3,2,1,0.313578,0.015398,68.53,1
P0097,Pressure Cooker 5L,Home,3987.23,28.4,3.78,467,1.26,discounted imported,0.756,0.734,S0097,3.89,23,7.78,5,5,1,0.797446,0.008094,107.34,1
P0098,Hand Cream Nourishing,Beauty,456.78,5.8,4.78,123,0.38,authentic original,0.923,0.912,S0098,4.89,46,1.45,2,1,1,0.091356,0.038862,27.72,1
P0099,Toy Kitchen Set,Toys,2345.67,20.1,4.34,267,0.89,premium genuine,0.867,0.845,S0099,4.56,35,3.12,3,2,1,0.469134,0.016255,87.23,1
P0100,Dark Chocolate Organic,Grocery,1123.45,11.3,4.56,134,0.58,imported premium,0.901,0.889,S0100,4.67,40,2.23,2,1,1,0.22469,0.03403,51.53,1
P0001,Nova Smartwatch Pro,Electronics,4521.34,18.45,4.32,287,0.84,authentic genuine,0.892,0.876,S0001,4.56,42,3.21,3,2,1,0.904268,0.015052,79.7,1
P0101,Graphics Card RTX,Electronics,38976.54,72.3,1.67,912,2.18,discounted replica,0.412,0.356,S0101,1.78,3,36.78,15,15,0,7.795308,0.001831,120.74,0
P0102,Maxi Dress Summer,Fashion,2987.65,25.4,4.12,356,0.99,premium warranty,0.845,0.823,S0102,4.34,31,3.89,3,3,1,0.59753,0.011573,104.65,1
P0103,Dishwasher Compact,Home,23456.78,61.2,2.34,689,1.97,refurbished limited,0.534,0.478,S0103,2.56,9,23.89,11,13,0,4.691356,0.003396,143.21,0
P0104,Shampoo Keratin,Beauty,892.34,9.1,4.67,201,0.55,authentic premium,0.912,0.901,S0104,4.78,44,1.89,2,1,1,0.178468,0.023234,42.5,1
P0105,Drone Mini Foldable,Electronics,12345.67,49.8,2.78,645,1.84,replica discounted,0.578,0.512,S0105,2.67,10,20.45,10,12,0,2.469134,0.00431,138.45,0
P0106,Gym Bag Duffel,Fashion,1234.56,13.6,4.34,245,0.74,genuine sealed,0.878,0.856,S0106,4.56,35,2.89,3,2,1,0.246912,0.017714,59.02,1
P0107,Slow Cooker 6 Quart,Home,4321.89,29.3,3.89,423,1.27,discounted warranty,0.767,0.734,S0107,3.98,25,7.45,5,5,1,0.864378,0.009197,113.99,1
P0108,Lip Balm Set,Beauty,345.67,4.2,4.89,89,0.33,premium original,0.934,0.923,S0108,4.91,48,1.34,2,0,1,0.069134,0.054944,20.54,1
P0109,Memory Card Game,Toys,456.89,7.8,4.56,112,0.49,authentic genuine,0.912,0.901,S0109,4.67,41,2.01,2,1,1,0.091378,0.040714,35.57,1
P0110,Soy Sauce Organic,Grocery,567.23,6.4,4.78,98,0.42,imported sealed,0.923,0.912,S0110,4.89,45,1.67,2,1,1,0.113446,0.048776,30.59,1
P0111,SSD 1TB NVMe,Electronics,6789.45,36.7,3.45,489,1.51,discounted limited,0.701,0.656,S0111,3.34,18,11.45,6,8,0,1.35789,0.007055,126.64,0
P0112,Polo Shirt Classic,Fashion,1567.34,14.9,4.45,278,0.76,premium warranty,0.889,0.867,S0112,4.67,37,2.89,3,2,1,0.313468,0.016007,66.31,1
P0113,Sandwich Maker,Home,1876.45,17.6,4.23,298,0.88,genuine imported,0.856,0.834,S0113,4.45,33,3.45,3,3,1,0.37529,0.014195,74.45,1
P0114,Concealer Full Coverage,Beauty,1234.56,11.8,4.67,234,0.6,authentic premium,0.901,0.889,S0114,4.78,42,2.12,2,1,1,0.246912,0.019957,55.11,1
P0115,Building Blocks 500pcs,Toys,1678.9,15.7,4.34,223,0.79,premium sealed,0.878,0.856,S0115,4.56,36,2.98,3,2,1,0.33578,0.019462,68.14,1
P0116,Almond Milk Organic,Grocery,678.45,7.9,4.56,112,0.47,genuine original,0.912,0.901,S0116,4.78,43,1.89,2,1,1,0.13569,0.040714,36.02,1
P0117,Projector Full HD,Electronics,19876.34,58.4,2.56,734,1.99,replica refurbished,0.512,0.445,S0117,2.45,7,26.78,13,14,0,3.975268,0.003488,149.51,0
P0118,Leather Shoes Formal,Fashion,4567.23,34.8,3.56,445,1.44,discounted limited,0.723,0.678,S0118,3.45,19,10.89,6,7,0,0.913446,0.008,123.85,0
P0119,Air Fryer 5L,Home,5678.9,30.9,3.89,512,1.3,genuine warranty,0.778,0.745,S0119,4.01,26,7.89,5,5,1,1.13578,0.007598,120.2,1
P0120,BB Cream SPF,Beauty,1456.78,12.4,4.78,267,0.63,premium authentic,0.912,0.898,S0120,4.89,44,1.78,2,1,1,0.291356,0.017903,59.28,1
P0121,RC Helicopter,Toys,3456.89,27.5,3.98,378,1.19,discounted warranty,0.801,0.767,S0121,4.12,28,6.45,4,4,1,0.691378,0.010529,109.46,1
P0122,Protein Powder Whey,Grocery,3987.45,23.7,4.12,389,0.96,imported genuine,0.845,0.823,S0122,4.34,32,3.67,3,3,1,0.79749,0.010591,97.64,1
P0123,Wireless Charger Fast,Electronics,1876.23,19.2,4.34,312,0.9,authentic sealed,0.867,0.845,S0123,4.56,34,3.45,3,3,1,0.375246,0.01391,83.33,1
P0124,Cardigan Knit Sweater,Fashion,2876.45,21.8,4.23,356,0.93,premium genuine,0.856,0.834,S0124,4.45,35,3.56,3,3,1,0.57529,0.011882,92.21,1
P0125,Blender 1000W,Home,3987.23,26.9,3.98,445,1.14,genuine imported,0.801,0.778,S0125,4.12,29,6.12,4,4,1,0.797446,0.008944,107.09,1
P0126,Face Primer Pore Fill,Beauty,1123.67,10.6,4.67,189,0.57,authentic premium,0.912,0.901,S0126,4.78,41,1.98,2,1,1,0.224734,0.024709,49.5,1
P0127,Art Supplies Set,Toys,2134.56,18.3,4.45,267,0.83,premium original,0.889,0.867,S0127,4.67,38,2.89,3,2,1,0.426912,0.016667,81.44,1
P0128,Coconut Oil Virgin,Grocery,1234.89,13.2,4.34,156,0.7,imported sealed,0.878,0.867,S0128,4.56,37,2.67,2,2,1,0.246978,0.027821,57.29,1
P0129,Smart Doorbell Camera,Electronics,8976.45,42.6,3.12,578,1.69,replica discounted,0.656,0.589,S0129,2.89,14,16.23,8,10,0,1.79529,0.005398,132.91,0
P0130,Backpack Travel,Fashion,2345.78,20.7,4.12,334,0.92,genuine warranty,0.845,0.823,S0130,4.34,31,3.78,3,3,1,0.469156,0.012335,85.28,1
P0131,Iron Steam Press,Home,2876.9,23.8,4.01,389,1.02,premium sealed,0.823,0.801,S0131,4.23,30,4.45,4,4,1,0.57538,0.010308,95.44,1
P0132,Mascara Volumizing,Beauty,678.23,7.6,4.78,145,0.48,authentic original,0.923,0.912,S0132,4.89,45,1.67,2,1,1,0.135646,0.032966,36.33,1
P0133,Doctor Play Set,Toys,892.45,11.9,4.34,178,0.72,premium genuine,0.878,0.856,S0133,4.56,36,2.78,3,2,1,0.17849,0.024382,51.65,1
P0134,Maple Syrup Pure,Grocery,1876.34,17.3,4.23,189,0.82,imported original,0.867,0.854,S0134,4.45,35,3.12,3,2,1,0.375268,0.022381,73.18,1
P0135,Security Camera System,Electronics,15678.9,55.7,2.45,689,1.96,discounted replica,0.534,0.467,S0135,2.34,8,25.12,12,14,0,3.13578,0.003556,136.46,0
P0136,Blazer Formal Wear,Fashion,5432.89,40.2,3.23,467,1.58,refurbished limited,0.689,0.623,S0136,3.12,16,13.89,7,9,0,1.086578,0.006916,129.84,0
P0137,Coffee Machine Espresso,Home,12345.67,47.3,3.34,601,1.61,discounted warranty,0.712,0.667,S0137,3.45,20,12.45,7,8,0,2.469134,0.005557,158,0
P0138,Eyeliner Waterproof,Beauty,456.89,5.5,4.89,123,0.37,premium sealed,0.934,0.923,S0138,4.91,47,1.34,2,0,1,0.091378,0.039756,26.89,1
P0139,Musical Instruments Toy,Toys,1456.89,14.6,4.45,212,0.75,authentic genuine,0.889,0.867,S0139,4.67,37,2.78,2,2,1,0.291378,0.020991,64.97,1
P0140,Chia Seeds Organic,Grocery,892.67,9.8,4.56,112,0.53,imported premium,0.901,0.889,S0140,4.78,42,2.01,2,1,1,0.178534,0.040714,44.69,1
P0002,Zara Cotton Shirt,Fashion,892.15,12.3,4.67,156,0.62,premium warranty,0.941,0.923,S0002,4.78,38,2.14,2,1,1,0.17843,0.029936,57.44,1
P0141,External Hard Drive 2TB,Electronics,5678.23,33.4,3.67,445,1.43,discounted limited,0.734,0.701,S0141,3.78,21,9.89,6,7,0,1.135646,0.008247,122.59,0
P0142,Summer Dress Floral,Fashion,1987.45,17.9,4.34,298,0.86,premium warranty,0.867,0.845,S0142,4.56,35,3.12,3,2,1,0.39749,0.014564,77.67,1
P0143,Heater Room Electric,Home,6789.12,35.2,3.56,489,1.47,discounted imported,0.723,0.689,S0143,3.45,19,10.78,6,7,0,1.357824,0.007281,125.38,0
P0144,Serum Vitamin C,Beauty,2345.67,16.8,4.67,356,0.69,authentic premium,0.901,0.887,S0144,4.78,40,2.23,2,2,1,0.469134,0.013118,78.45,1
P0145,Electric Train Set,Toys,3987.23,28.7,3.98,389,1.17,genuine warranty,0.812,0.789,S0145,4.12,28,6.34,4,4,1,0.797446,0.010232,114.25,1
P0146,Apple Cider Vinegar,Grocery,678.9,8.5,4.56,98,0.46,imported original,0.912,0.901,S0146,4.67,40,1.98,2,1,1,0.13578,0.046531,38.76,1
P0147,Curved Monitor 34 inch,Electronics,28976.54,64.8,2.12,789,2.03,replica refurbished,0.489,0.412,S0147,2.01,5,29.34,14,15,0,5.795308,0.002687,137.38,0
P0148,Tie Silk Formal,Fashion,987.23,10.9,4.56,167,0.61,premium sealed,0.901,0.889,S0148,4.78,41,2.23,2,1,1,0.197446,0.027305,49.7,1
P0149,Juicer Cold Press,Home,7890.45,37.4,3.45,512,1.52,discounted limited,0.712,0.678,S0149,3.56,20,11.12,6,8,0,1.57809,0.006738,129.03,0
P0150,Toner Hydrating,Beauty,1234.89,12.1,4.78,245,0.62,authentic genuine,0.912,0.901,S0150,4.89,44,1.89,2,1,1,0.246978,0.01951,57.84,1
P0151,Toy Car Garage Set,Toys,2876.45,24.3,4.12,334,0.98,premium original,0.845,0.823,S0151,4.34,32,3.67,3,3,1,0.57529,0.012335,100.11,1
P0152,Black Pepper Whole,Grocery,1456.78,13.8,4.34,145,0.71,imported sealed,0.878,0.867,S0152,4.56,37,2.78,2,2,1,0.291356,0.029931,59.89,1
P0153,Router WiFi 6,Electronics,4321.67,31.5,3.78,412,1.35,discounted warranty,0.767,0.734,S0153,3.89,24,8.45,5,6,1,0.864334,0.009175,119.07,1
